scan1	scan2	scan3	scan4
1081.4257	1736.6757	3035.5811	4786.2979
708.4029	1117.4131	1995.3451	3244.7700
350.0000	446.0000	868.0000	1451.0000
565.1188	867.1545	1516.8348	2436.2632
528.0000	787.0833	1491.7620	2237.3999
1045.4094	1620.5771	2823.7212	4228.5161
1719.1677	2642.2014	4691.5103	6888.7246
476.5342	731.2500	1285.5986	1957.6838
1572.6577	2507.3767	4630.7383	7316.0142
514.0096	836.6116	1401.1945	2387.8879
1547.0476	2399.3723	4253.5522	6546.2734
506.9508	799.5695	1364.6316	2171.6914
779.5616	1268.6510	2261.9531	3552.4060
284.0000	439.0000	810.0000	1374.0000
701.1973	1111.8176	1945.6013	3149.3806
372.9298	573.3333	1008.7742	1589.6493
297.0000	508.0000	931.0000	1340.0000
416.0000	552.0000	1361.0000	1637.0000
580.7687	875.1476	1592.5771	2360.9597
409.5000	580.3571	1013.5000	1550.2106
1150.3176	1800.7500	3125.2246	5081.7178
284.0000	394.0000	724.0000	1162.8334
1074.2886	1733.6644	3041.9060	4673.3682
1010.5238	1598.5472	2749.0271	4338.7378
517.0000	780.0000	1506.3334	2279.1111
627.8125	899.0714	1491.4736	2781.6924
526.4431	771.3652	1372.9500	2075.0740
541.4558	833.3219	1516.7671	2205.5427
2144.0566	3465.5168	6141.5205	9749.7373
1042.6577	1658.5369	2980.0806	4580.6978
421.0000	784.8000	1666.0000	1786.1000
1318.1209	2011.3960	3588.9397	5550.0068
423.1400	592.3964	1086.7959	1737.3261
537.5000	1122.6000	1548.5000	2426.8333
1668.8657	2639.8120	4782.4834	7200.8120
428.0000	639.3333	1075.5454	1571.5358
622.5750	893.2162	1649.4166	2460.2273
382.8829	566.9271	992.6989	1525.2778
825.4459	1246.7047	2212.8926	3413.1489
860.3706	1367.4727	2336.1633	4123.6924
352.2500	509.2000	954.2857	1408.9091
2359.4473	3677.9060	6431.5171	10510.9854
1227.1609	2001.6493	3460.1213	5479.0532
943.3919	1525.9865	2745.7124	4343.9771
506.4722	750.4588	1368.3513	2248.1250
970.6042	1536.5541	2678.0676	4197.0889
396.0000	606.0000	938.0000	2734.5000
1637.6913	2567.7717	4577.1812	7280.7183
1459.0403	2245.6243	3942.0269	5805.8569
410.0000	536.0000	1120.0000	1516.0000
993.2867	1510.9862	2703.5278	4411.2598
358.3423	546.5252	987.3770	1612.1724
249.0000	423.0000	604.0000	1181.0000
1750.4766	2725.0066	4764.3423	7364.9717
818.3054	1258.0144	2202.2319	3803.3069
307.2000	428.5000	697.1875	1145.7106
295.1429	424.2500	801.0000	1152.5000
465.0089	717.0168	1261.0156	1963.6545
387.6471	569.0000	944.9445	1419.8572
514.4662	844.4609	1452.2887	2388.0503
344.0000	483.0000	873.0000	1367.2500
892.9452	1409.7035	2508.6382	3998.0476
6892.4497	11331.4766	19879.4629	31554.2090
2125.4070	3389.1987	6209.0200	9538.3086
1598.5100	2573.5437	4579.9932	7287.3716
1262.9799	1997.9664	3486.9800	5328.1548
483.0000	608.0000	1182.6666	2073.0000
298.0000	538.0000	752.0000	1358.0000
361.3235	526.0769	956.8444	1487.5209
1640.1276	2573.1082	4490.9795	7052.9316
1332.4631	2145.5637	3847.3357	5632.6382
7809.0806	12793.6514	22672.0332	34153.4023
323.0000	432.0000	799.0000	1192.2500
275.8182	409.3077	745.1539	1143.8125
1842.7273	2860.2366	5267.9595	8643.7412
779.3082	1268.2014	2188.1914	3410.6516
4427.2349	7304.1611	13070.9795	20760.6172
2412.6174	3816.7449	6653.3555	9773.1758
531.0000	727.0000	1513.0000	2044.0000
1782.0338	2824.4392	5088.9185	7935.0972
372.8000	618.6000	998.0476	1456.7142
1179.0405	1818.6443	3312.0066	5078.9385
677.3500	1047.9320	1861.9932	2996.9565
406.5000	557.3684	948.1739	1491.5714
263.1429	402.5000	676.9412	1005.8372
376.8102	595.7222	1059.4965	1747.0077
1269.8724	1980.6757	3511.8582	5466.4346
296.0000	430.0000	861.0000	1205.0000
1138.6993	1751.9574	3074.6619	5132.9141
2292.3154	3716.4900	6633.6108	9946.8447
580.3356	843.6846	1530.3356	2218.4922
477.7434	698.9524	1275.0496	2038.7117
320.0000	440.0000	768.0000	1271.0000
356.0000	564.0000	1030.9000	1493.0000
320.0000	490.0000	718.0000	1228.0000
3361.6711	5404.1543	9591.3418	15415.4092
2951.2483	4672.6577	8239.9795	13227.2285
823.1714	1360.4166	2384.2339	3577.2346
